concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Valadouro, O;1;104516;69459;ES1120015.2972;UA240;9.93147944048;UA200;2749.47488561;104584;ES1120015.2972;2;V;6230*;6230;X;Formacións herbáceas con Nardus;2749.47488561
Valadouro, O;1;104517;69459;ES1120015.2972;UA240;9.93147944048;UA200;2749.47488561;104583;ES1120015.2972;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;2749.47488561
Valadouro, O;1;104518;69459;ES1120015.2972;UA240;9.93147944048;UA200;2749.47488561;104582;ES1120015.2972;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;2749.47488561
Valadouro, O;1;104519;69459;ES1120015.2972;UA240;9.93147944048;UA200;2749.47488561;104581;ES1120015.2972;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;2749.47488561
Valadouro, O;1;104520;69459;ES1120015.2972;UA240;9.93147944048;UA200;2749.47488561;104580;ES1120015.2972;3;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;2749.47488561
Valadouro, O;1;104521;69459;ES1120015.2972;UA240;9.93147944048;UA200;2749.47488561;104579;ES1120015.2972;5;P;7110*;7110;X;Turbeiras altas activas;2749.47488561
Valadouro, O;1;104522;69459;ES1120015.2972;UA240;9.93147944048;UA200;2749.47488561;104587;ES1120015.2972;1;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2749.47488561
Valadouro, O;8;104567;69348;ES1120015.2992;UA230;69.0469865146;UA200;4378.82187053;104636;ES1120015.2992;5;V;7140;7140;;Turbeiras de transición e inllós;4378.82187053
Valadouro, O;8;104568;69348;ES1120015.2992;UA230;69.0469865146;UA200;4378.82187053;104635;ES1120015.2992;5;P;7130;7130;;Turbeiras de cobertor (* para turbeiras activas);4378.82187053
Valadouro, O;5;105979;68930;ES1120015.3451;UA230;188.022693333;UA200;29843.4144876;106048;ES1120015.3451;1;V;3160;3160;;Lagos e charcas distróficos naturais;29843.4144876
Valadouro, O;5;105980;68930;ES1120015.3451;UA230;188.022693333;UA200;29843.4144876;106047;ES1120015.3451;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);29843.4144876
Valadouro, O;4;105981;68932;ES1120015.3452;UA270;80.0563550801;UA200;6316.66792397;106054;ES1120015.3452;3;S;6410;6410;;Prados con Molinia;6316.66792397
Valadouro, O;4;105982;68932;ES1120015.3452;UA270;80.0563550801;UA200;6316.66792397;106053;ES1120015.3452;1;V;3160;3160;;Lagos e charcas distróficos naturais;6316.66792397
Valadouro, O;4;105983;68932;ES1120015.3452;UA270;80.0563550801;UA200;6316.66792397;106052;ES1120015.3452;1;V;7140;7140;;Turbeiras de transición e inllós;6316.66792397
Valadouro, O;4;105984;68932;ES1120015.3452;UA270;80.0563550801;UA200;6316.66792397;106051;ES1120015.3452;2;V;7110*;7110;X;Turbeiras altas activas;6316.66792397
Valadouro, O;4;105985;68932;ES1120015.3452;UA270;80.0563550801;UA200;6316.66792397;106049;ES1120015.3452;4;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;6316.66792397
Valadouro, O;4;105986;68932;ES1120015.3452;UA270;80.0563550801;UA200;6316.66792397;106050;ES1120015.3452;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;6316.66792397
Valadouro, O;1;105987;68924;ES1120015.3453;UA270;30.2085628688;UA200;3383.21910965;106057;ES1120015.3453;2;V;7110*;7110;X;Turbeiras altas activas;3383.21910965
Valadouro, O;1;105988;68924;ES1120015.3453;UA270;30.2085628688;UA200;3383.21910965;106058;ES1120015.3453;2;S;6410;6410;;Prados con Molinia;3383.21910965
Valadouro, O;1;105989;68924;ES1120015.3453;UA270;30.2085628688;UA200;3383.21910965;106055;ES1120015.3453;4;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;3383.21910965
Valadouro, O;1;105990;68924;ES1120015.3453;UA270;30.2085628688;UA200;3383.21910965;106056;ES1120015.3453;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;3383.21910965
Valadouro, O;11;106011;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106083;ES1120015.3458;1;V;6230*;6230;X;Formacións herbáceas con Nardus;23598.9078523
Valadouro, O;11;106012;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106091;ES1120015.3458;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;23598.9078523
Valadouro, O;11;106013;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106090;ES1120015.3458;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;23598.9078523
Valadouro, O;11;106014;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106089;ES1120015.3458;1;S;4030;4030;;Queirogais secos europeos;23598.9078523
Valadouro, O;11;106015;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106088;ES1120015.3458;1;V;3160;3160;;Lagos e charcas distróficos naturais;23598.9078523
Valadouro, O;11;106016;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106087;ES1120015.3458;1;V;7140;7140;;Turbeiras de transición e inllós;23598.9078523
Valadouro, O;11;106017;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106086;ES1120015.3458;1;V;7110*;7110;X;Turbeiras altas activas;23598.9078523
Valadouro, O;11;106018;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106079;ES1120015.3458;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;23598.9078523
Valadouro, O;11;106019;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106084;ES1120015.3458;1;V;7110*;7110;X;Turbeiras altas activas;23598.9078523
Valadouro, O;11;106020;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106092;ES1120015.3458;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;23598.9078523
Valadouro, O;11;106021;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106082;ES1120015.3458;1;V;7110*;7110;X;Turbeiras altas activas;23598.9078523
Valadouro, O;11;106022;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106081;ES1120015.3458;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;23598.9078523
Valadouro, O;11;106023;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106080;ES1120015.3458;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;23598.9078523
Valadouro, O;11;106024;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106085;ES1120015.3458;1;V;7110*;7110;X;Turbeiras altas activas;23598.9078523
