concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140432;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140514;ES1130002.0004;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;28259.6173514
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140433;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140513;ES1130002.0004;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;28259.6173514
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140434;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140511;ES1130002.0004;1.0;S;4030;4030;;Queirogais secos europeos;28259.6173514
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140435;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140509;ES1130002.0004;1.0;S;3260;3260;;Ríos dos pisos basal a montano;28259.6173514
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140438;81105;ES1130002.0006;UA710;3.62820468746;UA700;5276.03100805;140515;ES1130002.0006;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5276.03100805
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140440;81106;ES1130002.0007;UA411;315.533645186;UA400;43619.7952201;140521;ES1130002.0007;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;43619.7952201
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140441;81106;ES1130002.0007;UA411;315.533645186;UA400;43619.7952201;140523;ES1130002.0007;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;43619.7952201
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140444;81106;ES1130002.0007;UA411;315.533645186;UA400;43619.7952201;140518;ES1130002.0007;1.0;S;3260;3260;;Ríos dos pisos basal a montano;43619.7952201
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140445;81106;ES1130002.0007;UA411;315.533645186;UA400;43619.7952201;140519;ES1130002.0007;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;43619.7952201
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140446;81106;ES1130002.0007;UA411;315.533645186;UA400;43619.7952201;140520;ES1130002.0007;1.0;S;4030;4030;;Queirogais secos europeos;43619.7952201
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140450;81108;ES1130002.0009;UA540;4.54701874999;UA500;1142.45197716;140527;ES1130002.0009;1.0;S;6410;6410;;Prados con Molinia;1142.45197716
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140452;81109;ES1130002.0010;UA540;0.257214062507;UA500;273.746445551;140529;ES1130002.0010;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;273.746445551
Pobra de Trives, A;"Poligonal Parque Treboada
,Poligonal Treboada";140453;81109;ES1130002.0010;UA540;0.257214062507;UA500;273.746445551;140530;ES1130002.0010;1.0;S;6410;6410;;Prados con Molinia;273.746445551
